hebrew_day,hebrew_month,popular_name,full_name,years,quote,stream,role,image_url,sources,importance_score,biography,story,torah
1,תשרי,"רבי אמנון ממגענצא זצ""ל",,,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"**רבי אמנון ממגענצא**

רבי אמנון ממגענצא היה מחבר הפיוט הקדוש ""ונתנה תוקף"" שאומרים בראש השנה וביום כיפור. על פי המסורת, כאשר סירב להשתמד, צווה עליו הגביר לקצץ בהוניו. בראש השנה ביקש להובא לביתכנסת, והשמיע את פיוטוּ בקול רם, ואז נפטר. שלוש ימים לאחר מותו, בא בחלום לרבי קלונימוס, לימד אותו את הפיוט כולו, וציווה להפיצו בישראל ולקבעו לאמירה בראש השנה וביום כיפור. נפטר בשנת ד' אלפים תשע""ב.

**הרב יעקב דוד וילובסקי**

הגאון רבי יעקב דוד וילובסקי, אב""ד סלוצק, חיבר את ""מגדל דוד"". היה רב בסלוצק, ולאחר מכן ברא לעבור לשיקגו בעברית השפה. כשראה שעמלו יתבור בשל הירידה",,
1,תשרי,"רבי יהודה עייאש זצ""ל","הגה""ק רַבִּי יְהוּדָה ב""ר יִצְחָק עַיָיאשׁ מֵאַלְגִ'יר.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"רבי יהודה עייאש היה מן הרבנים המפורסמים בעיר אלג'יר. שימש כראש בית הדין וחיבר פסקים רבים. התכתב עם רבנים מMaroco, מאיטליה וממצרים. בשנת תקט""ז עזב את אלג'יר כדי לעלות לארץ ישראל. בדרכו שהה בליוורנו באיטליה, שם הדפיס את חיבוריו. בימיו האחרונים התיישב בירושלים, שם נפטר בשנת תק""כ. כתב ספר בשם 'בית יהודה'.",,
1,תשרי,"הרב ה'מלבי""ם' זצ""ל","הגה""ק רַבִּי מֵאִיר לֵיבּוּשׁ ב""ר יְחִיאֵל מִיכְל וַוייסָר מִקֶּעמְפְנָא.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"הרב המלבי""ם נולד בשנת תקס""ט בעיר וולוצ'יסק באוקראינה. למד בישיבת וורשה והוכר כעילוי. התחנך בקבלה אצל הרב צבי הירש מזידיטשוב. שימש כרב בקהילות שונות וצוין כדרשן מעולה. בשנת תר""ך מונה לרב ראשי בבוקרשט, שם התנגד בתוקף לרפורמים. בשנת תרכ""ד נעצר בעקבות תלונות שלהם, אך שוחרר בהתערבות השר מונטיפיורי. לאחר גירושו מרומניה, כיהן כרב בקהילות שונות, ובסופו של דבר בקניגסברג בפרוסיה. נפטר בשנת תר""מ.",,
1,תשרי,"הרב יעקב דוד וילובסקי זצ""ל","הרב יעקב דוד וילובסקי (כונה הרידב""ז; ל' בשבט ה'תר""ה 1845  א' בתשרי ה'תרע""ד 1913)",,,,,,Facebook group archive,5,,,
1,תשרי,"רבי יצחק מאיר העשיל זצ""ל","רבי יצחק מאיר העשיל (כ""א בכסלו תרכ""ב 1861  א' בתשרי תרצ""ו 1935)",,,,,,Facebook group archive,5,,,
2,תשרי,"הרב סלמאן אליהו זצ""ל","הרב סלמאן אליהו (ה'תרל""ב, 1872 – ב' בתשרי ה'תש""א 1940)",,,,,2933763786888052.jpg,Facebook group archive,5,,,
2,תשרי,"הרב יוסף רוזובסקי (כ""ז באב ה'תר""ע  ב' בתשרי ה'תשל""ז) זצ""ל","הרב יוסף רוזובסקי (כ""ז באב ה'תר""ע  ב' בתשרי ה'תשל""ז)",,,,,2933763786888052.jpg,Facebook group archive,5,,,
2,תשרי,"רבי נפתלי צבי הירש קצנלנבוגן זצ""ל","רבי נפתלי צבי הירש קצנלנבוגן (נפטר בב' בתשרי תקס""ה 1804, מנהיים)",,,,,2933763786888052.jpg,Facebook group archive,5,,,
2,תשרי,"רבי ישראל פרלוב מסטולין (כונה: הינוקא או דער פרנקפורטער  י' בכסלו ה'תרכ""ט – ב' בתשרי ה'תרפ""ב) זצ""ל","רבי ישראל פרלוב מסטולין (כונה: הינוקא או דער פרנקפורטער  י' בכסלו ה'תרכ""ט – ב' בתשרי ה'תרפ""ב)",,,,,2933763786888052.jpg,Facebook group archive,5,,,
2,תשרי,"הרב חכם דוד קדוש זצ""ל",חכם דוד קדוש,,,,,2933763786888052.jpg,Facebook group archive,5,,,
2,תשרי,"רבי אהרן משיח זצ""ל","הרה""ק רַבִּי אַהֲרֹן ב""ר צְבִי קַאצְנֶלְבּוֹיגְן מִבֶּעלְזְא – רַבִּי אַהֲרֹן מָשִׁיחַ.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"רבי אהרן משיח זצ""ל היה מתוך משפחת הגאון רבי יחזקאל קצנלנבויגן זצ""ל, בעל הכנסת יחזקאל. הוא היה תלמידו של הרה""ק החוזה מלובלין זצ""ל. נודע כאיש קדוש שביצע ישועות, וזכה להערכה רבה וכבוד גדול. נפטר בשנת תקע""ז. ברא אות השבעה שלו, הגה""ק רבי שלמה קלוגר זצ""ל, שהבחין בעובדה שנפטר בימים הקרובים ליום הכיפורים, שדרך זאת בא ליכפר על ישראל.",,
