popular_name,full_name,years,hebrew_day,hebrew_month,image_filename,biography,story,torah,quote,stream,role,sources,importance_score,note
בבקשה לא לשלוח ולהעלות דברים שאינם קשורים אלא אך רק בנושא הצדיק והיום המדובר,,,,,,,,,,,,קבוצת פייסבוק דובב שפתי ישנים,5,
"האדמו""ר מפיאסצנה – רבי קלונימוס קלמן שפירא",,,4,חשוון,2684769425120824.jpg,"- היה דמות ייחודית בעולם היהודי טרם השואה, ספריו 'חובת התלמידים', 'הכשרת האברכים' וספרו שיצא לאחר שנרצח בשואה ""אש קודש"" - הכולל את דרשותיו בגטו וורשא, נחשבים לספרים מוכרים ומוערכים. 

 

היה אדמו""ר בפולין. בפיאסצנה, עיירה קטנה מדרום לוורשה. בשנת תרפ""ג ייסד את ישיבת דעת משה בוורשה, ושימש בה במקביל לאדמו""רות. נודע כאיש חינוך והתפרסם בזכות חיבוריו המיוחדים בתחום החינוך החסידי. ונספה בה.יָדוּעַ בְּשִׁיטָתוֹ הַמְיֻחֶדֶת בְּחִנּוּךְ הַבָּנִים לְתוֹרָה וּלְיִרְאַת שָׁמַיִם, וְהָיָה מָסוּר מְאֹד לַחֲסִידָיו. היה רב פעיל ודינמי בגטו ורשה בזמן השואה, 

נולד בי""ט באייר תרמ""ט בגרודז'יסק מזובייצקי שבפולין, לאביו רבי אלימלך שפירא מגרודז'יסק, מצאצאי רבי אלימלך מליז'נסק והמגיד מקוז'ניץ, ולאמו חנה ברכה, שהיתה בתו של האדמו""ר רבי חיים שמואל מחנצ'ין. נקרא ""קלונמוס קלמיש"" על שם סבו מצד אמו, רבי קלונימוס קלמן אפשטיין מקראקא, בעל ה""מאור ושמש"".

עם פרוץ מלחמת העולם השנייה, נלכד בוורשה המכותרת על ידי הגרמנים. בהפגזות נהרגו בנו, כלתו ודודתו, וזמן קצר לאחר תחילת הכיבוש הגרמני מתה גם אמו. למרות האסון האישי, ולמרות הצרה הכללית, סרב להצעות בריחה שונות שהופנו אליו והעדיף להישאר עם חסידיו בגטו וורשה.

עשה מאמצים רבים לשמור על מסגרת החיים הדתיים בגטו. הדרשות שאמר בפני חסידיו קובצו על ידו לספרו הידוע ""אש קודש"".

בזמן השואה, העלה את תורותיו על הכתב, והחביאם בתוך כד חלב, בצירוף בקשה כי המוצאם שישלחם לאחיו הרב ישעיהו שידפיסם. לאחר הרבה שנים מצאם נער פולני, והביאם למכון לחקר היהדות בורשה. במכון הבינו את גדול המציאה שמצא הנער והוציאו לאור את הכתבים.

 חסיד סיפר לאדמו""ר שהוא נוסע לורשה, האדמו""ר אמר לו, תקנה לי בבקשה מקטרת? אל תשכח לקנות לי מקטרת. החסיד מרוב טרדתו שכח לקנות בורשה מקטרת, ושחזר התחמק מהאדמו""ר, הרב ניגש אליו ואמר לו, נו מה עם המקטרת? אמר לו החסיד שכחתי, אקנה לרב במקום אחר, אמר לו הר' היא לא חשובה, אבל שחסיד צריך לזכור תמיד את הצדיק שלו, גם בורשה



-רבי שלמה קרליבך סיפר שאחד המשפטים שהיו שגורים בפיו והיה אומר אותו בכל הזדמנות הוא תזכרו דבר אחד, הדבר הכי חשוב בחיים זה לעשות טובה ליהודי אחר.("" צו טון א ייד א טוב'ע "".)

-""כי מי המחנך שלך - אם לא אתה עצמך"" ( חובת התלמידים פרק ג').

-אמַר פַּעַם כִּי רַבִּי שֶׁאֵינוֹ מוּכָן לֵילֵךְ לְגֵיהִנּוֹם כְּדֵי לְהַצִּיל חָסִיד שֶׁלּוֹ מֵרֶדֶת שַׁחַת – אֵינוֹ רַבִּי כְּלָל. 

- לִפְנֵי פְּטִירָתוֹ אָמַר עַל הַפָּסוּק (בראשית מד, לד) ""אֵיךְ אֶֽעֱלֶה אֶל־אָבִי וְהַנַּעַר אֵינֶנּוּ אִתִּי"" – 'אֵיךְ נַעֲלֶה אֶל אָבִינוּ שֶׁבַּשָּׁמַיִם אִם הַנְּעָרִים הָרַכִּים אֵינָם אִתָּנוּ, הַרְבֵּה מֵהֶם הֶחְמִיצוּ וְסָרוּ מִן הַדֶּרֶךְ כִּי חָדַלְנוּ מִלְּחַנְּכָם לַתּוֹרָה, בְּאָמְרֵנוּ, הֲלֹא בֵּין כֹּה וָכֹה יִשְׂרְפוּם צוֹרְרֵי הַיְּהוּדִים בָּאֵשׁ'.



•אש קודש • חובת התלמידים • שרת האברכים • צו וזירוז""- בענייני חינוך. • מבוא שערים- הקדמות ללימוד חסידות. • בני מחשבה טובה- ספר להדרכת חבורת אנשים השואפים להתעלות בעבודת ה'.",,,אש קודש,,,קבוצת פייסבוק דובב שפתי ישנים,5,
"רַבִּי מֹשֶׁה פּוֹלַק - הַגָּאוֹן רַבִּי מֹשֶׁה בהגה""צ ר' זֶעקִיל הַלֵּוִי פּוֹלַק מִבָּאנְיַהאד",,,,,2685122725085494.jpg,"בֵּאֵר אֶת הַפָּסוּק בְּמִשְׁלֵי שׂוֹנֵא מַתָּנוֹת יִחְיֶה, כִּי הַנְּשָׁמָה יָרְדָה לָעוֹלָם הַזֶּה כִּי לֹא רָצְתָה בַּשָּׁמַיִם נַהֲמָא דְּכִסּוּפָא, וְעַל כֵּן מִי שֶׁשּׂוֹנֵא מַתָּנוֹת צָרִיךְ לִחְיוֹת בָּעוֹלָם הַזֶּה לַעֲשׂוֹת מִצְוֹת וּמַעֲשִׂים טוֹבִים שֶׁלֹּא לְקַבֵּל בַּשָּׁמַיִם נַהֲמָא דְּכִסּוּפָא, אֲבָל מִי שֶׁמְּקַבֵּל מַתָּנוֹת לָמָּה נִבְרָא בִּכְלָל, וְזֶה בֵּאוּר הַמֵּימְרָא שׂוֹנֵא מַתָּנוֹת יִחְיֶה. נִפְטַר בִּשְׁנַת תרמ""ט (1849)",,,,,,קבוצת פייסבוק דובב שפתי ישנים,5,
"רַבִּי יְהוּדָה מוּדֶערְן - הגה""ק רַבִּי יְהוּדָה בהגה""צ ר' יְשַׁעְיָה מוּדֶרְן",,,,,2685122725085494.jpg,"מִפְּרֶעשְׁבּוּרְג בַּעַל 'זִכְרוֹן יְהוּדָה'.

בִּהְיוֹתוֹ בֶּן חָמֵשׁ שָׁנִים נֶחְשַׁב כְּבָר לְיֶלֶד פִּלְאִי, וּכְבֶן שְׁמוֹנֶה שָׁנָה כְּבָר נִכְנַס לִלְמֹד בִּישִׁיבַת הַ'חֲתַם סוֹפֵר' בִּפְרֶעשְׁבּוּרְג. כְּשֶׁנַּעֲשָׂה בֶּן י""ג שָׁנָה הֵעִיד עָלָיו רַבּוֹ הַ'חֲתַם סוֹפֵר' בִּכְתָב, שֶׁבְּכָל צַד בְּלִמּוּד מַרְאֶה פָּנִים מַסְבִּירוֹת לַהֲלָכָה כְּאַחַד הַהוֹרִים וּמוֹרִים… וּמִתְקַרְיָא גַּבְרָא רַבְרְבָתָא… נִתְפַּרְסֵם כְּגָאוֹן עָצוּם בְּדוֹרוֹ, אֲבָל לֹא רָצָה לְקַבֵּל שׁוּם מִשְׂרָה בְּרַבָּנוּת עַל אַף הַהַפְצָרוֹת שֶׁל גְּדוֹלֵי דּוֹרוֹ, וּבֵינֵיהֶם הַ'דִּבְרֵי חַיִּים', שֶׁהִפְצִירוּ בּוֹ לְקַבֵּל אֶת מִשְׂרַת הָרַבָּנוּת בָּעִיר רֵישָׁא. נִפְטַר בִּשְׁנַת תרנ""ד (1854)

, אַבַּ""ד קִינְצְק.בַּעַל 'חֶלְקַת יוֹאָב' וְ'קַבָּא דְּקַשְׁיָיתָא'.

רַבּוֹ הַמֻּבְהָק הָיָה הָ'אַבְנֵי נֵזֶר' מִסָּאכְטְשׁוֹב זְצַ""ל, וְאַחַר נִשּׂוּאָיו כְּשֶׁכִּהֵן הָ'אַבְנֵי נֵזֶר' בְּרַבָּנוּת הָעִיר נַאשֶׁעלְסְק עָבַר לָגוּר שָׁם כְּדֵי לִהְיוֹת סָמוּךְ לְרַבּוֹ וְהָיָה גָּר עִמּוֹ בְּבִנְיָן אֶחָד, וְשָׁם מִנּוּהוּ לְמו""ץ דְּמָתָא. מִשָּׁם עָבַר לְכַהֵן כְּרַבָּהּ שֶׁל לוֹטוֹמִירְסְק וְעָמַד בְּרֹאשׁ הַיְשִׁיבָה שָׁם, אַחַר כָּךְ כִּהֵן בְּרַבָּנוּת קִינְצְק מֶשֶׁךְ כ""ח שָׁנִים, כֻּלָּן שָׁוִים לְטוֹבָה, כְּשֶׁהוּא מַרְבִּיץ תּוֹרָה לִמְאוֹת תַּלְמִידִים מְצֻיָּנִים אֲשֶׁר הָיוּ מַגִּיעִים לְשָׁם לִלְמֹד תּוֹרָה מִפִּיו. בֵּין סְפָרָיו: 'קַבָּא דְּקַשְׁיָיתָא' – ק""ג קֻשְׁיוֹת, כְּמִנְיַן קַבָּ""א, שֶׁהִשְׁאִיר אוֹתָן בְּצָרִיךְ עִיּוּן, וּגְדוֹלֵי הָאַחֲרוֹנִים כָּתְבוּ עֲלֵיהֶן הַרְבֵּה תֵּרוּצִים וּפִלְפּוּלִים. נִפְטַר בִּשְׁנַת תרפ""ג (1883)",,,"ג שָׁנָה הֵעִיד עָלָיו רַבּוֹ הַ'חֲתַם סוֹפֵר' בִּכְתָב, שֶׁבְּכָל צַד בְּלִמּוּד מַרְאֶה פָּנִים מַסְבִּירוֹת לַהֲלָכָה כְּאַחַד הַהוֹרִים וּמוֹרִים… וּמִתְקַרְיָא גַּבְרָא רַבְרְבָתָא… נִתְפַּרְסֵם ",,,קבוצת פייסבוק דובב שפתי ישנים,5,
רבי יעקב הלברשטאם,,,,,2685122725085494.jpg,"האדמו""ר הראשון מטשאקאווא היה בנו של רבי סיני הלברשטאם מז'מיגראד, שהיה בנו של רבי ברוך הלברשטאם, בנו של מייסד שושלת צאנז, רבי חיים הלברשטאם. רבי יעקב היה חתנו של רבי שלום מוסקוביץ' משאץ-לונדון. הוא החל לכהן בגיל 21 כרב בעיר טשאקאווא. בשנת תרצ""ה עלה לישראל והתגורר בירושלים, שם הקים את בית הכנסת וישיבת ""דברי חיים צאנז-טשאקאווא"" בשכונת גאולה. שהה תקופה בארצות הברית. נפטר בתשכ""ח (1928) בניו ג'רזי.",,,"ר הראשון מטשאקאווא היה בנו של רבי סיני הלברשטאם מז'מיגראד, שהיה בנו של רבי ברוך הלברשטאם, בנו של מייסד שושלת צאנז, רבי חיים הלברשטאם. רבי יעקב היה חתנו של רבי שלום מוסקוביץ' משאץ-לונדון. הוא החל לכהן ",,,קבוצת פייסבוק דובב שפתי ישנים,5,
רבי יעקב יצחק דן מסטריקוב,,,,,2685122725085494.jpg,,,,,,,קבוצת פייסבוק דובב שפתי ישנים,5,
"רבי שלמה יצחק מטרנפול ב""ר יעקב חריף",,,,,2685122725085494.jpg,מכירים עוד צדיקים שנפטרו היום? החכימו אותנו,,,,,,קבוצת פייסבוק דובב שפתי ישנים,5,
הרב צבי הירש קלישר,,1795 - 1874,5,חשוון,2685634178367682.jpg,"1795 - 1874 היה מגדולי הרבנים באירופה במאה ה-19, ומנהיג רב פעלים בתנועת התחייה הלאומית של ישראל. יותר מחמישים שנה שימש כרבה של קהילת טורן שלא על מנת לקבל פרס. לחם בתנועת הרפורמה ביהדות. טען שגאולת ישראל לא תבוא באופן ניסי בלבד אלא שלב ראשון שלה צריך להיות עלייה לארץ, התיישבות בה וקיום המצוות התלויות בארץ. ב-1860 הצטרף לאגודה שפעלה להתיישבות בארץ 

כמה מרעיונותיו שימשו יסוד לתנועת ""חיבת ציון"", שקמה ברוסיה בשנת 1881. על שמו הקיבוץ הדתי ""טירת צבי"" שבבקעת בית שאן.

 "" דרישת ציון"", ""אמונה ישרה""(מחקרים ופירושים); ""מאזניים למשפט""(דינים בחושן משפט); פירוש להגדה של פסח.

הפיץ את הדיעה שיש עפ""י התורה חובה לשוב לארץ להתיישב בה ולחדש את עבודת הקרבנות. הוא התעמת עם רבותיו וחבריו, ביניהם רבו רבי עקיבא איגר, חברו רבי אליהו גוטמכר וכן רבי יעקב עטלינגר בעל הערוך לנר ועוד. כל הדיונים הללו קובצו על ידו לספר דרישת ציון 
 .



""דרישת ציון"" (מאמר א): ""גאולת ישראל אשר אנו חוכים לה, אל יחשוב החושב כי פתאום ירד ה' יתברך שמו משמים ארץ לאמור לעמו: צאו! או ישלח משיחו כרגע מן השמים לתקוע בשופר גדול על נדחי ישראל ויקבצם ירושלימה ויעשה להם חומת אש ומקדש א-ל ממרומים ירד כאשר הבטיח על ידי עבדיו הנביאים. לא כן הקורא המשכיל, ודאי יעודי הנביאים יתקיימו באחרית הימים ולא יפול ח""ו מדבריהם דבר ארצה, אך לא במנוסה נלך ולא בחפזון יום אחד, אלא מעט מעט תבוא גאולת ישראל"".

""לפעול בעוז ובחיל ובכח - כל אשר יש לאל יד הישראלי - להשתדל בחברת ארץ הנושבת או חברת יישוב הארץ"". וכן קרא: ""ועתה, למה אנו מחשים? עד מתי לא נרחם את ירושלים? עד מתי לא נחונן את עפרה?… עד אנה נאהוב זרים נחבק אדמת ניכר, ונחשוב כי בכוסף הלב לבד נעוף ההרה, הר הקודש ונחשוב לנו צדקה! 

""זה כשלושים שנה אשר אני עוסק בישיבת ארה""ק והיה כמו נדר בלבי לעלות בעצמי אל הר הקודש להסתופף בחצרותיו, וכעת תתגעש ותרעש רוחי בקרבי אם לא עכשיו אימתי אשלם נדרי לד'?... ובשגם נקראתי מן האדון קארל נעטער ביפו שמבקש שאבוא אצלו להורות לו דרך ישורון אור לקיים מצות התלויות בארץ. הגם שכמה מן דרי קודש כתבו עליו שטנה, הנה הגאון הראשון לציון העיד טוב על לימוד הילדים, וגם זה נסיון שרוצה לשמוע בקול בקיום המצות... ועם כל זאת אין דעתי לקבוע אהלי בהחלט ביאפו, רק עיקר דירתי יהיה בלא נדר בירושלים לקבוע ישיבה עם תלמידים ולהשגיח על האמת והשלום, ולהשכיל לעסק מקנה וקנין נחלת יעקב אצל יריחו צפת וטבריה, אשר השולטן רוצה למכור בזול. כי הארץ טובה שם, ומפראים אין פחד, וגם טוב לגדרות צאן לקיים דברי הנביא ארבה כצאן אדם ערים החרבות מלאות צאן אדם.""",,,חיבת ציון,,,קבוצת פייסבוק דובב שפתי ישנים,5,
"האור החיים, חכם חיים בן עטר, שהכירו מתקופתו במכנאס, כותב על חכם משה בירדוגו, בפירושו לפרשת דברים שהוא ""חכם גדול, חסיד וגדול בישראל, חביב עלי כרוחי"", ומביא מנהגו ש""היה מדקדק בשעת הדין, שיהיו עיניו למטה, ולא היה נושא עיניו כל עיקר, ושהיה מרגיש שאם היה נושא עיניו, לצד ההכרח, באיזה אחד מבעלי הדין היה מתבלבל שכנגדו, והוא אומרו 'שמוע בין אחיכם' - שלא יעשו אלא השמיעה, והדברים באים מהטוענים לפניהם באין השתנות לאחד מהם, ובזה ושפטתם צדק."" וכן מביא שבחו מרן החיד""א על יושר עיונו בעומק העיון",,,5,חשוון,,"חכם משה בירדוגו נודע בכינויו המשבי""ר, והעמיד תלמידים חשובים בתוכם חכם מרדכי אצבאן, חכם יצחק אצבאן, חכם חיים טולידאנו, המהרי""ט - חכם יעקב בן משה טולידאנו, חכם יהודה בירדוגו, וחכם מרדכי בירדוגו, שהיה גם חתנו. בנו יהודה נפטר בצעירותו. זכה שתורה לא פסקה מפי זרעו, ונודע נכדו המלאך רפאל - חכם רפאל בירדוגו.
חכם משה בירדוגו נפטר ביום ה' חשוון תצ""א (1730) ומנוחתו כבוד בעיר מקנס

מתורתו: 
אם נא מצאתי חן בעיניך, שים נא ידך תחת ירכי, ועשית עמדי חסד ואמת, אל נא תקברני במצרים. בשבילך ירדתי למצרים, בשבילך אמרתי אמותה הפעם' - וקשה, מניין לרבותינו זיכרונם לברכה לדרוש כן, שאמר לו יעקב ליוסף: 'בשבילך ירדתי למצרים'. ועוד אומרו: 'בשבילך אמרתי אמותה הפעם' ... יובן במאמרם זיכרונם לברכה: הנקבר בארץ ישראל, כאילו נקבר במקום מזבח שמתכפרים עוונותיו. וממילא כאילו לא מת, לזה כשבא יעקב אבינו עליו השלום למצרים אמר: 'אמותה הפעם' - כלומר שאמות בחוץ לארץ, שזאת תיקרא מיתה, ואחרי כל זה אני מתרצה, אחרי ראותי את פניך.

רבי משולם זלמן חסיד - אביו: ר' שמריה.
מתלמידיו: ר' משה (בעל ""החתם סופר"").

התגורר בפרנקפורט (גרמניה). היה עשיר גדול, גאון וכל הנהגותיו היו בקדושה ובטהרה, ערך סיגופים ותענית הפסקות. הקים בארמונו והחזיק על חשבונו ישיבה בה למדו מאות תלמידים.
ביום חמישי ה'תקנ""א השיב את נשמתו ליוצרה והובא לקבורה למחרת בלוויה

חכם שלמה ילוז
חכם שמואל גרג'י
חכם אברהם דהאן
זצ''ל",,,"ר, והעמיד תלמידים חשובים בתוכם חכם מרדכי אצבאן, חכם יצחק אצבאן, חכם חיים טולידאנו, המהרי",,,קבוצת פייסבוק דובב שפתי ישנים,5,
"ר' יהודה החסיד - התס""א 1700",,1700,6,חשוון,2687133284884438.jpg,"נולד בשנת השצ""ח 1638, נפטר בירושלים בשנת התס""א 1700. מחכמי פולין, מופלג בחסידות ובענווה ודרשן רב השפעה. שמו היה ר' יהודה סגל הלוי. נדד בקהילות ישראל והטיף לחזרה בתשובה ולמעשים טובים כדי לקרב את הגאולה, ומתוך אמונה שהגאולה קרובה יצא עם 150 איש לארץ ישראל, רבים מהם מתו בדרך. לקראת הסתיו הגיעו לירושלים ור' יהודה החסיד נפטר בפתאומיות. לפי המסורת רכש ר' יהודה שטח קרקע סמוך לבית כנסת הרמב""ן בעיר העתיקה, ועליו נבנה כעבור 150 שנה ביה""כ הגדול לקהילת האשכנזים בירושלים שנקרא ""חורבת ר' יהודה החסיד"". בית כנסת זה חרב במלחמת השחרור ולא שוקם עד היום.

למרות שהאגדה גורסת כי ר' יהודה נועד לגדולות עוד מבטן אמו, מסופר כי:

""'מעשה בר' יהודה החסיד שהיה יותר מי""ח שנים, ולא ידע שום דבר, ואפילו להתפלל שחרית וערבית, והיה עם הארץ לגמרי, והיה רובה קשת ... פעם אחת הגיד אביו ר' שמואל ההלכה לתלמידיו, והר' יהודה החסיד זרק חצים, והיה רץ תוך המדרש של אביו, וכעסו התלמידים מאוד, ואמרו לרבינו שמואל: אתה ואביך ואבות אביך, כולם הייתם גדולים, ואתה תגדל בנך להיות פרא אדם ואומנותו ליסטים! והזכיר ר' שמואל שם אחד, ונתמלא בית המדרש כולו אורה, ורבינו אברהם נתן עיניו למטה בקרקע, והר' יהודה החסיד לא קם ולא זע ... והזכיר עוד שם אחר, ולא היה כוח לרבינו אברהם לראות אותו אורה, ועטה עצמו במלבוש אביו, והר' יהודה החסיד נתן עיניו בקרקע. אז אמר אביו: השעה מוצלחת לאחיך יהודה, ודע שאתה תהיה ראש ישיבה כל ימיך, אבל אחיך יהודה יהיה יודע מה למעלה ומה למטה, ואין נעלם ממנו, ויהיה בעל שם מעשים'.

חיבורים המיוחסים לו: 

-ספר חסידים

-צוואת רבי יהודה החסיד

-כתרי אותיות תפילין

-פרושי התורה לר' יהודה החסיד, 

-ספר הגימטריאות לרבינו יהודה החסיד, 

-סוד היחוד לרבינו יהודה החסיד, 

-אמרות טהורות חיצוניות ופנימיות, ""בענייני אמונות ודעות

-סודי חומש ושאר,",,,"ח 1638, נפטר בירושלים בשנת התס",,,קבוצת פייסבוק דובב שפתי ישנים,5,
